configuration,log_loss,brier,rps,accuracy,ece,sharpness,entropy,log_loss_delta
Without venue and history,1.069920652254189,0.6221455952265433,0.22482972130426848,0.46875,0.13069823861042443,0.5643296482557771,0.9435121660736744,-0.027526696725454824
Without opponent context,1.0779389245799327,0.6317878638958925,0.23056141999161256,0.515625,0.15154902345346927,0.5600141835885903,0.9418750099182839,-0.019508424399711233
Ratings only,1.086552873516117,0.6327250351336604,0.22518701982547634,0.546875,0.0717632761672247,0.5395077266200845,0.9671118075965831,-0.010894475463526954
Without recent dynamics,1.0879151511426655,0.6344152909485222,0.22921718263439908,0.5,0.15012014029796927,0.5554579024491033,0.9491398533949322,-0.009532197836978451
Full feature system,1.097447348979644,0.6402005658174079,0.23268828769549826,0.5,0.1371009355048257,0.55898206797809,0.9435064830487401,0.0
Without score process,1.1018097678291525,0.6468308851222602,0.23546040082874636,0.515625,0.11644269582996797,0.566231317262667,0.9369995476053764,0.004362418849508609
Without rating uncertainty,1.1064706650274536,0.6446284306370769,0.23623613655317288,0.46875,0.16061284755928334,0.5579155940793644,0.9432708884604778,0.009023316047809704
