team,matches,accuracy,log_loss,brier,mean_actual_probability
Curaçao,1,1.0,0.1648024368054638,0.036570158267221584,0.8480612332249734
Germany,1,1.0,0.1648024368054638,0.03657015826722159,0.8480612332249734
Mexico,2,1.0,0.3116713723503948,0.12041666357532634,0.7397803571122992
Haiti,2,1.0,0.4383665569736803,0.2127637580479916,0.6690960491802553
Colombia,1,1.0,0.4499858020666931,0.20164575604220208,0.6376372046880119
Uzbekistan,1,1.0,0.4499858020666931,0.20164575604220208,0.6376372046880119
Algeria,1,1.0,0.459127995520071,0.205036560564051,0.6318343677551507
Argentina,1,1.0,0.459127995520071,0.205036560564051,0.6318343677551507
Iraq,1,1.0,0.4763035756505407,0.22078904598475374,0.6210749104060391
Norway,1,1.0,0.4763035756505407,0.22078904598475374,0.6210749104060391
France,1,1.0,0.5548668404770872,0.27251442119116454,0.5741487094746496
Senegal,1,1.0,0.5548668404770872,0.27251442119116454,0.5741487094746496
Croatia,1,1.0,0.5596079704041493,0.27587794081325,0.5714330386067602
England,1,1.0,0.5596079704041493,0.27587794081325,0.5714330386067602
Scotland,2,1.0,0.6344448850622899,0.33191543796562417,0.5317577528161286
Austria,1,1.0,0.6396580593774139,0.33497377135947565,0.5274727575727334
Jordan,1,1.0,0.6396580593774139,0.33497377135947565,0.5274727575727334
South Korea,2,1.0,0.6467523455093696,0.34342466506127506,0.5333789728442287
United States,2,1.0,0.9052139969717283,0.5320003021233511,0.4054565018923485
Sweden,1,1.0,0.9130731137344732,0.5391645311071256,0.4012891200917732
Tunisia,1,1.0,0.9130731137344732,0.5391645311071256,0.4012891200917732
Paraguay,2,1.0,0.972378028255976,0.5817043655314669,0.37818455473789436
South Africa,2,0.5,0.7730119676008567,0.45674359127633246,0.5486817374253359
Brazil,2,0.5,0.8313680152452194,0.4915346925348939,0.5353319923457689
Canada,2,0.5,0.9398944194908139,0.6213873829220881,0.5033408086891954
Qatar,2,0.5,0.9535140189572551,0.6425899265053316,0.500842271403189
Australia,2,0.5,0.9979835479002361,0.5989279896233568,0.3735368512304467
Bosnia and Herzegovina,2,0.5,1.007856912479504,0.657576308382665,0.45118737201824527
Switzerland,2,0.5,1.0214765119459452,0.6787788519659086,0.448688834732239
Morocco,2,0.5,1.027446343333829,0.6106863724525264,0.39799369598164225
Turkey,2,0.5,1.0651475791844838,0.6486320530314726,0.34626490407599253
Czech Republic,2,0.5,1.1080929407598314,0.6797515927622811,0.34228035315726546
Japan,1,0.0,1.268396918020843,0.7760333789671194,0.28128217893396895
Netherlands,1,0.0,1.268396918020843,0.7760333789671194,0.28128217893396895
Iran,1,0.0,1.3818949809414895,0.8878259051166455,0.2511022679145836
New Zealand,1,0.0,1.3818949809414895,0.8878259051166455,0.2511022679145836
Saudi Arabia,1,0.0,1.3964140534723641,0.9411051474613151,0.24748283486176822
Uruguay,1,0.0,1.3964140534723641,0.9411051474613152,0.24748283486176822
Belgium,1,0.0,1.4326338909251515,0.9288576192021378,0.23867943800547461
Egypt,1,0.0,1.4326338909251515,0.9288576192021379,0.23867943800547461
Ghana,1,0.0,1.4711662362701983,0.9224311015557068,0.2296574940473243
Panama,1,0.0,1.4711662362701983,0.9224311015557068,0.2296574940473243
DR Congo,1,0.0,1.6515176523375554,1.1213643241023288,0.1917586646874277
Portugal,1,0.0,1.6515176523375554,1.1213643241023288,0.1917586646874277
Ecuador,1,0.0,1.8455451927016042,1.1298925503073813,0.15793919011909727
Ivory Coast,1,0.0,1.8455451927016042,1.1298925503073813,0.15793919011909727
Cape Verde,1,0.0,2.264558311071531,1.5341911273667932,0.10387590524704199
Spain,1,0.0,2.264558311071531,1.5341911273667932,0.10387590524704199
